CarID,OwnerID,PurchaseDate,SaleDate
1,1,2020-01-15,2021-01-15
2,2,2019-02-20,2020-02-20
3,3,2018-03-10,2019-03-10
4,4,2021-04-05,2022-04-05
5,5,2017-05-18,2018-05-18
6,6,2020-06-01,2021-06-01
7,7,2019-06-15,2020-06-15
8,8,2018-07-05,2019-07-05
9,9,2021-07-20,2022-07-20
10,10,2017-08-02,2018-08-02
11,11,2018-08-18,2019-08-18
12,12,2019-09-10,2020-09-10
13,13,2020-09-25,2021-09-25
14,14,2017-10-05,2018-10-05
15,15,2018-10-20,2019-10-20
16,16,2019-11-10,2020-11-10
17,17,2020-11-25,2021-11-25
18,18,2021-12-05,2022-12-05
19,19,2017-12-20,2018-12-20
20,20,2018-12-31,2019-12-31
21,21,2019-01-10,2020-01-10
22,22,2020-02-05,2021-02-05
23,23,2021-03-15,2022-03-15
24,24,2017-04-01,2018-04-01
25,25,2018-05-10,2019-05-10
26,26,2021-06-20,2022-06-20
27,27,2019-07-15,2020-07-15
28,28,2020-08-01,2021-08-01
29,29,2021-09-05,2022-09-05
30,30,2018-10-10,2019-10-10
